库,f,w,S,表达式,sign,w归,贡献
h1_s42,943,0.12444215335110788,0.5,"div(beta120,ts_max(ts_sum(abs(returns),5),10))",-1.0,0.0020487333832816296,0.0010243666916408148
h1_s42,944,0.054212244472111926,-0.8,"ts_argmin(ts_mean(disp,10),10)",1.0,0.0008925145703584202,-0.0007140116562867362
h1_s42,945,0.10497018005698038,-0.050000000000000044,"ts_std(amount,5)",1.0,0.001728159681752282,-8.640798408761417e-05
h1_s42,983,0.0336710646878646,0.25,"ts_std(limit_net,10)",1.0,0.0005543381596912017,0.00013858453992280042
h1_s42,1019,0.08745588688253335,-0.85,"abs(ts_std(close,5))",1.0,0.0014398159321079675,-0.0012238435422917723
h1_s42,1020,0.01901803823387467,0.3500000000000001,"ts_std(ts_std(ts_std(ts_std(ts_std(returns,5),5),5),5),5)",1.0,0.0003131004146507608,0.0001095851451277663
h1_s42,1021,0.16534354814023292,0.7749999999999999,"slog(ts_max(returns,10))",1.0,0.002722106920067312,0.0021096328630521664
h1_s42,1074,0.08518203696180127,-0.95,"ts_decay_linear(ts_std(high,3),10)",1.0,0.0014023807695386385,-0.0013322617310617066
h1_s42,1075,0.03592287919902989,-0.75,"ts_std(abs(ts_std(returns,3)),5)",1.0,0.0005914105458380881,-0.00044355790937856607
h1_s42,1077,0.08745588688253335,-0.85,"ts_std(abs(close),5)",1.0,0.0014398159321079675,-0.0012238435422917723
