,p六库,恐慌,仓位,收益,标的开→开,货基,库数
2016-01-07,0.9326041545572509,1,0.0,7.98745968830783e-05,,7.98745968830783e-05,4
2016-01-08,0.8336964205892095,1,0.0,0.00025957170668378104,,0.00025957170668378104,4
2016-01-11,0.8911170118626196,1,0.0,0.0001397331097603427,,0.0001397331097603427,4
2016-01-12,0.6359842743992566,1,0.0,6.985679357329744e-05,,6.985679357329744e-05,4
2016-01-13,0.7044684973691278,1,0.0,0.0,,0.0,4
2016-01-14,0.3956803513637349,1,0.0,9.978844848657076e-06,,9.978844848657076e-06,4
2016-01-15,0.08390510830411588,1,0.0,0.00015965992436095533,,0.00015965992436095533,4
2016-01-18,0.15107200948183663,1,0.0,0.00010974867553303902,,0.00010974867553303902,4
2016-01-19,0.018362154796429137,1,0.0,0.0,,0.0,4
2016-01-20,-0.08353294803186379,1,0.0,5.985753905712876e-05,,5.985753905712876e-05,4
2016-01-21,0.3862303696257132,1,0.0,0.0,,0.0,4
2016-01-22,0.3285052352468941,1,0.0,0.0003391927213234336,,0.0003391927213234336,4
2016-01-25,0.00840449567892837,1,0.0,0.00012964735918297166,,0.00012964735918297166,4
2016-01-26,0.6259767224544489,1,0.0,0.00019943161988345004,,0.00019943161988345004,4
2016-01-27,0.6291068236428136,1,0.0,9.969592742131717e-05,,9.969592742131717e-05,4
2016-01-28,0.5437434644802164,1,0.0,9.968598913423499e-05,,9.968598913423499e-05,4
2016-01-29,0.36550765122608814,1,0.0,0.0002890605532022139,,0.0002890605532022139,4
2016-02-01,-0.23527358704023524,1,0.0,0.00017936504773108375,,0.00017936504773108375,4
2016-02-02,-0.27858643813530526,1,0.0,1.9925875742066168e-05,,1.9925875742066168e-05,4
2016-02-03,-0.4450890210877784,1,0.0,4.981369677414804e-05,,4.981369677414804e-05,4
2016-02-04,-0.44560588647274896,0,0.0,0.0002590183205652963,,0.0002590183205652963,4
2016-02-05,-0.5216359839603609,0,0.0,0.00041830586126145874,,0.00041830586126145874,4
2016-02-15,-0.0749101260456052,0,0.0,2.9866496759511918e-05,,2.9866496759511918e-05,4
2016-02-16,0.18633093641497778,0,0.0,0.0,,0.0,4
2016-02-17,-0.014573573253411048,0,0.0,9.955498919689276e-06,,9.955498919689276e-06,4
2016-02-18,-0.18413245017206598,0,0.0,0.00014933099713299036,,0.00014933099713299036,4
2016-02-19,0.02744149537738111,0,0.0,0.00019907826762111114,,0.00019907826762111114,4
2016-02-22,-0.4499966311621907,0,0.0,0.00011942318601154689,,0.00011942318601154689,4
2016-02-23,-0.645383923249562,0,0.0,0.0001194089258171882,,0.0001194089258171882,4
2016-02-24,-0.34933957520986725,0,0.0,0.0,,0.0,4
2016-02-25,0.32965798367880805,0,0.0,0.0,,0.0,4
2016-02-26,-0.2782945005264361,0,0.0,0.0002587373616749211,,0.0002587373616749211,4
2016-02-29,0.2851555786968202,0,0.0,0.0001989772568997683,,0.0001989772568997683,4
2016-03-01,0.18916309709228415,0,0.0,0.00016909702190304188,,0.00016909702190304188,4
2016-03-02,0.15447316620514384,0,0.0,3.9780807749023595e-05,,3.9780807749023595e-05,4
2016-03-03,-0.3292071386933135,0,0.0,0.0001491720948731956,,0.0001491720948731956,4
2016-03-04,0.390634833358482,0,0.0,0.00022869643034750808,,0.00022869643034750808,4
2016-03-07,0.08984610669946216,0,0.0,3.976419830387101e-05,,3.976419830387101e-05,4
2016-03-08,0.0854423247738868,0,0.0,0.00019881308587743618,,0.00019881308587743618,4
2016-03-09,-0.20017532029776036,0,0.0,0.00010932546190001169,,0.00010932546190001169,4
2016-03-10,0.5169121449703963,0,0.0,0.0001788766546089171,,0.0001788766546089171,4
2016-03-11,0.4092457411113924,0,0.0,0.0,,0.0,4
2016-03-14,0.3644726915737228,0,0.0,0.0,,0.0,4
2016-03-15,0.24840402413766313,0,0.0,8.94303288054843e-05,,8.94303288054843e-05,4
2016-03-16,0.39868226215183744,0,0.0,3.974325854994021e-05,,3.974325854994021e-05,4
2016-03-17,0.4095617361975733,0,0.0,0.0,,0.0,4
2016-03-18,0.46790950339677084,0,0.0,1.9873011456894574e-05,,1.9873011456894574e-05,4
2016-03-21,-0.027536257251724594,0,0.0,7.949046611233079e-05,,7.949046611233079e-05,4
2016-03-22,-0.43068514490261794,0,0.0,0.00021858140667085912,,0.00021858140667085912,4
2016-03-23,-0.43531572334273905,0,0.0,0.00023840033376032466,,0.00023840033376032466,4
2016-03-24,-0.7345727493819958,0,0.0,0.00013903371567591805,,0.00013903371567591805,4
2016-03-25,-0.31700133365197414,0,0.0,0.00016880318541567796,,0.00016880318541567796,4
2016-03-28,-0.6306463436240062,0,0.0,1.9855846553840095e-05,,1.9855846553840095e-05,4
2016-03-29,-0.2682392079262918,0,0.0,0.0,,0.0,4
2016-03-30,-0.30353427796084786,0,0.0,0.0,,0.0,4
2016-03-31,-0.5878710939089307,0,0.0,0.0002184294919529428,,0.0002184294919529428,4
2016-04-01,0.2437439131218581,0,0.0,0.0003474255764781553,,0.0003474255764781553,4
2016-04-05,0.35359910965181024,0,0.0,0.00012899896800844246,,0.00012899896800844246,4
2016-04-06,-0.131772018164435,0,0.0,7.937374118194285e-05,,7.937374118194285e-05,4
2016-04-07,0.06443189843206298,0,0.0,7.936744149139585e-05,,7.936744149139585e-05,4
2016-04-08,0.17495574006793269,0,0.0,0.00028768414265178954,,0.00028768414265178954,4
2016-04-11,-0.30346659561265654,0,0.0,0.0,,0.0,4
2016-04-12,-0.3740355178391599,0,0.0,5.9505509218293895e-05,,5.9505509218293895e-05,4
2016-04-13,0.2943435507389539,0,0.0,7.93359580311126e-05,,7.93359580311126e-05,4
2016-04-14,0.297178254058976,0,0.0,0.0,,0.0,4
2016-04-15,0.1255579661458049,0,0.0,0.00025785209207307425,,0.00025785209207307425,4
2016-04-18,0.6018356358571924,0,0.0,0.0001784669687385776,,0.0001784669687385776,4
2016-04-19,0.6354675264948618,0,0.0,0.00013878287419344382,,0.00013878287419344382,4
2016-04-20,0.8699584701175753,0,0.0,2.9735060609992203e-05,,2.9735060609992203e-05,4
2016-04-21,0.7599321952945806,0,0.0,0.00010902531369549884,,0.00010902531369549884,4
2016-04-22,0.7263600278588839,0,0.0,0.00018829592190683364,,0.00018829592190683364,4
2016-04-25,0.7620326283715233,0,0.0,5.945067575607865e-05,,5.945067575607865e-05,4
2016-04-26,0.5935615898344944,0,0.0,9.907856930446712e-06,,9.907856930446712e-06,4
2016-04-27,0.03857330044688065,0,0.0,0.0001882474165517678,,0.0001882474165517678,4
2016-04-28,0.34599101798347665,0,0.0,0.0002179296681525944,,0.0002179296681525944,4
2016-04-29,-0.13889054528643485,0,0.0,0.00015845977102579845,,0.00015845977102579845,4
2016-05-03,0.4476350329835847,0,0.0,0.0,,0.0,4
2016-05-04,-0.2754014928034505,0,0.0,4.951524574403621e-05,,4.951524574403621e-05,4
2016-05-05,-0.2993192987680126,0,0.0,0.00010892814703344911,,0.00010892814703344911,4
2016-05-06,0.3032142869788199,0,0.0,0.00019802960542580905,,0.00019802960542580905,4
2016-05-09,0.06886136885691545,0,0.0,0.0001286937583526715,,0.0001286937583526715,4
2016-05-10,0.185327306924852,0,0.0,0.00022765965870852334,,0.00022765965870852334,4
2016-05-11,0.6472747789620409,0,0.0,0.0,,0.0,4
2016-05-12,0.4076010086693247,0,0.0,1.9793749133967253e-05,,1.9793749133967253e-05,4
2016-05-13,-0.10933477092728502,0,0.0,0.00015834685879401178,,0.00015834685879401178,4
2016-05-16,-0.011482969109891994,0,0.0,8.905600633291044e-05,,8.905600633291044e-05,4
2016-05-17,-0.10430709245850867,0,0.0,6.925961471870856e-05,,6.925961471870856e-05,4
2016-05-18,0.4385249112061349,0,0.0,5.93612727057824e-05,,5.93612727057824e-05,4
2016-05-19,-0.06825283307992544,0,0.0,6.925070734653538e-05,,6.925070734653538e-05,4
2016-05-20,0.11890376105644385,0,0.0,0.0,,0.0,4
2016-05-23,-0.2319366336032408,0,0.0,0.00022752453308005904,,0.00022752453308005904,4
2016-05-24,-0.4319775287402876,0,0.0,0.0001186814491005439,,0.0001186814491005439,4
2016-05-25,-0.428238155386067,0,0.0,4.944473561896423e-05,,4.944473561896423e-05,4
2016-05-26,0.06505000465403732,0,0.0,2.9665374574827652e-05,,2.9665374574827652e-05,4
2016-05-27,-0.5175638497196939,0,0.0,9.88816485549826e-05,,9.88816485549826e-05,4
2016-05-30,-0.09032584066478254,0,0.0,0.00014830780791164067,,0.00014830780791164067,4
2016-05-31,0.2154860795256597,0,0.0,0.0,,0.0,4
2016-06-01,0.15534692790837762,0,0.0,1.9771442128835304e-05,,1.9771442128835304e-05,4
2016-06-02,-0.09612244753912887,0,0.0,8.896973052063828e-05,,8.896973052063828e-05,4
2016-06-03,-0.3397342739064845,0,0.0,0.00014826969268622037,,0.00014826969268622037,4
